State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Alabama,01123,475.6,449.5,503.0,271,stable,-0.1,-3.5,3.3,Tallapoosa,AL,0.004756
Vermont,50021,475.5,454.0,497.9,408,stable,-1.2,-3.0,0.7,Rutland,VT,0.004755
Ohio,39015,475.5,449.8,502.3,269,stable,-2.1,-4.8,0.7,Brown,OH,0.004755
Illinois,17163,475.5,464.3,486.8,1439,stable,0.3,-4.0,4.7,St Clair,IL,0.004755
Wisconsin,55043,475.5,450.6,501.4,294,stable,1.5,-7.1,10.8,Grant,WI,0.004755
Georgia,13205,475.5,438.6,514.7,127,falling,-1.1,-2.1,-0.2,Mitchell,GA,0.004755
Ohio,39003,475.5,458.1,493.3,606,stable,1.3,-2.4,5.1,Allen,OH,0.004755
Texas,48487,475.4,427.3,527.7,77,stable,0.3,-8.1,9.5,Wilbarger,TX,0.0047539999999999995
Texas,48119,475.4,406.4,554.1,36,stable,3.7,-14.1,25.3,Delta,TX,0.0047539999999999995
Illinois,17033,475.4,437.8,515.5,124,stable,0.8,-3.8,5.6,Crawford,IL,0.0047539999999999995
New York,36027,475.3,465.2,485.6,1756,falling,-0.6,-0.9,-0.3,Dutchess,NY,0.004753
Pennsylvania,42049,475.2,464.6,486.0,1625,stable,0.2,-3.7,4.3,Erie,PA,0.004752
South Carolina,45059,475.2,454.1,497.0,406,stable,1.1,-4.1,6.6,Laurens,SC,0.004752
Illinois,17173,475.1,440.6,512.0,153,stable,-2.5,-8.0,3.3,Shelby,IL,0.004751
Missouri,29097,475.1,458.3,492.3,626,stable,-1.2,-7.6,5.7,Jasper,MO,0.004751
North Carolina,37025,475.0,461.4,489.0,953,stable,-0.2,-3.2,2.9,Cabarrus,NC,0.00475
Georgia,13097,474.9,457.6,492.7,625,stable,-0.5,-1.1,0.2,Douglas,GA,0.004749
Michigan,26079,474.9,435.3,517.4,116,stable,-1.4,-7.2,4.7,Kalkaska,MI,0.004749
Indiana,18059,474.8,453.7,496.7,400,stable,-1.1,-6.3,4.5,Hancock,IN,0.0047480000000000005
Maryland,24029,474.8,438.8,513.4,153,stable,0.8,-4.9,6.9,Kent,MD,0.0047480000000000005
West Virginia,54107,474.7,456.6,493.4,553,stable,1.3,-4.5,7.4,Wood,WV,0.0047469999999999995
